,PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
840,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,DSF,See note,See note,,,,1,,,,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF3a+EF4+EF6+NF1+NF2+EF2+NF3+NF6+NF7+EF5+NF5+NF8+NF9
841,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,SF1_S,7,6,100.0,,,1,10.0,10.0,400.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF3a+EF4+EF6+NV3+NF1+NF2+EF2+NF3+NF6+NF7+EF5+NF5+NF8+NF9+NV1
842,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,SF1_P,10,4,100.0,,,1,10.0,10.0,400.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF3a+EF4+EF6+NV3+NF1+NF2+EF2+NF3+NF6+NF7+EF5+NF5+NF8+NF9+NV1
843,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,SF2,9,4,75.0,50.0,100.0,1,14.0,14.0,400.0,1500.0,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
844,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,SF3,7,6,50.0,,,1,28.0,28.0,400.0,,4.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
845,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,LF1,7,6,75.0,50.0,100.0,1,5.0,5.0,1500.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
846,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,LF2,10,4,40.0,30.0,50.0,1,5.0,5.0,1500.0,,4.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
847,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,OB-WS2,7,6,70.0,40.0,100.0,1,10.0,10.0,4500.0,,4.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+NF9+NV1+OS2+NF4+WB5+NF1+NF2+NF3+NF8+WB4
848,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,OB-WS3,7,6,25.0,20.0,30.0,1,5.0,5.0,4500.0,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+OS1+EF1+EF5+NF9+NV1+OS2+NF4+NF1+NF2+NF3+NF8
849,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,OB-WS4,See note,See note,,,,1,,,4500.0,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NF9+NV1+NF4+WB5+NF1+NF2+NF3+NF8+WB4
850,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,OB-WM,7,6,50.0,,,1,90.0,90.0,,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
851,PU_0000136,Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,Lower Bogan River at Gongolgon Bridge,421023,OB-WL,7,6,25.0,,,1,90.0,90.0,,,10.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.34731,146.897633,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
852,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,CF_a,7,6,,,,1,25.0,25.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
853,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,CF_b,7,6,5.0,,,1,244.0,244.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
854,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,CF_c,7,6,97.0,,,1,1.0,1.0,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
855,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,VF,7,6,,,,1,,1.0,,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
856,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,BF1_a,7,6,50.0,,,1,115.0,1.0,20.0,,1.167123,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+OS1+EF1+EF5+OS2+NF9+NV1+NF4+NF1+NF2+NF3+NF8
857,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,BF1_b,7,6,96.0,,,1,0.0,1.0,20.0,,1.167123,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+OS1+EF1+EF5+OS2+NF9+NV1+NF4+NF1+NF2+NF3+NF8
858,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,BF2_a,9,3,50.0,50.0,100.0,1,76.0,1.0,20.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
