PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_7,7,7,100,,,1,,,75,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_8,8,8,100,,,1,,,112,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_9,9,9,100,,,1,,,114,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_10,10,10,100,,,1,,,50,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_11,11,11,100,,,1,,,59,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_12,12,12,100,,,1,,,40,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,LF1_P,8,10,100,,,1,14,14,2383,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,LF1_S,8,10,100,,,1,7,7,1430,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,LF2_P,2,4,100,,,1,2,2,2383,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,LF2_S,2,4,100,,,1,2,2,1430,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
