PlanningUnitName,LTWPShortName,gauge,Code,relevant
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,LF1_P,1
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,LF2,1
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,BK1,1
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,OB1,
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,OB2,0
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,422003,OB3,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,CF_a,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,CF_b,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,CF_c,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,VF_a,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,VF_b,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,BF1_a,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,BF1_b,
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,BF2_a,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,BF2_b,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,SF1_S,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,SF1_P,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,SF2,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,LF1_S,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,LF1_P,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,LF2,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,BK1,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,OB1,1
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,OB2,0
Collarenebri to Upstream Walgett Weir,Barwon-Darling,422025,OB3,1
Walgett Weir Pool,Barwon-Darling,422001,CF_a,1
Walgett Weir Pool,Barwon-Darling,422001,CF_b,0
Walgett Weir Pool,Barwon-Darling,422001,CF_c,1
Walgett Weir Pool,Barwon-Darling,422001,VF_a,0
Walgett Weir Pool,Barwon-Darling,422001,VF_b,
Walgett Weir Pool,Barwon-Darling,422001,BF1_a,1
Walgett Weir Pool,Barwon-Darling,422001,BF1_b,0
Walgett Weir Pool,Barwon-Darling,422001,BF2_a,0
Walgett Weir Pool,Barwon-Darling,422001,BF2_b,0
Walgett Weir Pool,Barwon-Darling,422001,SF1_S,1
Walgett Weir Pool,Barwon-Darling,422001,SF1_P,1
Walgett Weir Pool,Barwon-Darling,422001,SF2,0
Walgett Weir Pool,Barwon-Darling,422001,LF1_S,1
Walgett Weir Pool,Barwon-Darling,422001,LF1_P,1
Walgett Weir Pool,Barwon-Darling,422001,LF2,0
Walgett Weir Pool,Barwon-Darling,422001,BK1,1
Walgett Weir Pool,Barwon-Darling,422001,OB1,0
Walgett Weir Pool,Barwon-Darling,422001,OB2,1
Walgett Weir Pool,Barwon-Darling,422001,OB3,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,CF_a,
