planning_unit_name,LTWPShortName,gauge,ewr_code_timing,Target,priority
Southern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS1_S,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS1_P,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS1_S,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS4_P,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS4_S,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,CF_a,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,CF_b,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,CF_c,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,VF_a,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,VF_b,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,BF1_a,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,BF1_b,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,BF2_a,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,BF2_b,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,SF1,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,SF3,Ecosystem Function,2
Lower Macquarie River,Macquarie-Castlereagh,421012,OB-WS4,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,CF,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,VF,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,BF1,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,BF2,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,BF3,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,DSF,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,SF1_S,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,SF1_P,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,SF3,Ecosystem Function,2
Lower Bogan River and Effluent Creeks,Macquarie-Castlereagh,421023,OB-WS4,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,CF_a,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,CF_b,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,CF_c,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,VF,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,BF1_a,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,BF1_b,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,BF2_a,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,BF2_b,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,BF3,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,DSF,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,SF1,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,SF3,Ecosystem Function,2
Marthaguy Creek,Macquarie-Castlereagh,421011,OB-WS4,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,CF,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,VF,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,BF1,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,BF2,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,SF1_S,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,SF1_P,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,SF3_S,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,SF3_P,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,OB-WS4_S,Ecosystem Function,2
Castlereagh River below Coonamble,Macquarie-Castlereagh,420020,OB-WS4_P,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_c,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,VF_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,BF3,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,DSF,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_P,Ecosystem Function,2
