PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,BF2,6,11,100,,,1,183,1,1287,1030,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P4+V-P7+V-F1b+V-V2b
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,F1,7,9,100,,,2,3,3,2592,2592,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V1a
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,BK1,7,9,100,,,1,6,6,4320,4320,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,F1d
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,BK2,7,6,100,,,4,4,4,3024,3024,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P6+V-P3+V-P5+V-V1d
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,OB1,9,10,20,,,1,7,7,5184,5184,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1c
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,OB2,6,11,100,,,2,4,4,5184,5184,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-F4a
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,OB3,7,12,100,,,1,4,4,5184,5184,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-W1a
SS300003,Kiewa river reach 3 - Lower Kiewa River,Kiewa FLOWs study 2008,,402205,OB4,7,6,100,,,2,4,4,4628,4628,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P2+V-F2b+V-P8
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,BF1,12,5,100,,,1,182,1,17,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P1+V-F2a+V-F5a+V-M1 
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,BF2,6,11,100,,,1,183,1,58,46,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,VP7+V-F6
