water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
1933,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Wet,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate
1934,Moderate,Wet,Moderate,Moderate,Dry,Wet,Moderate,Moderate,Moderate,Very Dry,Moderate,Moderate,Very Wet,Wet,Moderate,Wet,Dry,Very Dry,Moderate,Moderate,Wet,Moderate
1935,Moderate,Very Dry,Moderate,Dry,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate
1936,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Wet,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1937,Very Dry,Moderate,Dry,Moderate,Dry,Dry,Moderate,Very Dry,Dry,Very Dry,Very Dry,Moderate,Dry,Dry,Dry,Dry,Very Dry,Moderate,Dry,Dry,Dry,Very Dry
1938,Moderate,Very Dry,Moderate,Moderate,Very Dry,Moderate,Dry,Dry,Dry,Very Wet,Very Dry,Moderate,Moderate,Moderate,Dry,Moderate,Dry,Dry,Moderate,Dry,Moderate,Moderate
1939,Moderate,Very Dry,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Wet,Wet,Very Dry,Wet,Dry,Moderate,Moderate,Dry,Wet,Moderate
1940,Moderate,Dry,Dry,Wet,Dry,Dry,Moderate,Very Dry,Dry,Moderate,Dry,Wet,Very Dry,Dry,Moderate,Very Dry,Wet,Wet,Dry,Moderate,Very Dry,Moderate
1941,Dry,Very Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Very Dry,Moderate,Moderate,Very Dry,Very Dry,Dry,Dry,Very Dry,Moderate,Moderate,Dry,Moderate,Very Dry,Dry,Dry
1942,Moderate,Moderate,Moderate,Moderate,Very Wet,Moderate,Wet,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate
1943,Dry,Moderate,Dry,Moderate,Moderate,Moderate,Very Dry,Moderate,Dry,Very Dry,Dry,Very Dry,Dry,Moderate,Dry,Dry,Moderate,Very Dry,Dry,Dry,Dry,Dry
1944,Very Dry,Moderate,Very Dry,Dry,Very Dry,Very Dry,Dry,Dry,Very Dry,Very Dry,Dry,Dry,Very Dry,Very Dry,Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry
1945,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Dry,Wet,Dry,Dry,Dry,Dry,Very Dry,Moderate,Very Dry,Very Dry,Moderate,Dry,Dry,Dry
1946,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Dry,Moderate,Very Dry,Wet,Moderate,Moderate,Moderate,Moderate,Dry,Very Dry,Moderate,Moderate,Moderate,Moderate
1947,Moderate,Wet,Moderate,Wet,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Wet,Moderate,Moderate,Wet,Wet,Moderate,Dry,Moderate,Moderate,Moderate,Moderate
1948,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Dry,Very Wet,Moderate,Moderate,Moderate,Moderate,Dry
1949,Wet,Moderate,Moderate,Moderate,Very Dry,Moderate,Wet,Very Wet,Moderate,Wet,Very Wet,Moderate,Moderate,Wet,Very Wet,Moderate,Wet,Wet,Moderate,Wet,Moderate,Wet
1950,Wet,Very Wet,Moderate,Very Wet,Very Dry,Moderate,Very Wet,Very Wet,Moderate,Moderate,Very Wet,Very Wet,Moderate,Moderate,Very Wet,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Moderate,Very Wet
1951,Moderate,Moderate,Wet,Dry,Very Wet,Wet,Dry,Very Wet,Moderate,Moderate,Wet,Very Dry,Very Wet,Very Wet,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Very Wet,Wet
1952,Moderate,Wet,Moderate,Moderate,Moderate,Very Wet,Wet,Very Wet,Wet,Moderate,Wet,Very Wet,Wet,Wet,Moderate,Wet,Moderate,Moderate,Moderate,Wet,Wet,Wet
1953,Moderate,Dry,Moderate,Wet,Moderate,Wet,Dry,Moderate,Moderate,Dry,Moderate,Dry,Moderate,Moderate,Dry,Wet,Moderate,Very Wet,Moderate,Wet,Moderate,Moderate
1954,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Very Wet,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Wet,Moderate,Very Wet,Moderate,Wet
1955,Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Wet,Wet,Very Wet,Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet,Very Wet
1956,Wet,Moderate,Very Wet,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Very Wet,Wet,Very Wet,Moderate,Very Wet,Very Wet,Moderate,Wet,Very Wet,Wet,Very Wet,Wet,Very Wet,Very Wet
1957,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1958,Moderate,Wet,Moderate,Very Wet,Wet,Wet,Wet,Wet,Moderate,Moderate,Wet,Very Wet,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Wet,Wet,Wet
