Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2018,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,988,0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1354,0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1719,0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,2084,0
2022,1.0,1.0,1.0,0.0,14.5,0.0,29.0,0.0,27.0,27.0,1.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,2164,0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,624,0
2014,0.0,0.0,0.0,2.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,365,0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,731,0
2024,,,,,,,,,,,,,,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,1.0,2.0,31.0,0.0,31.0,0.0,31.0,31.0,1.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,807,0
2017,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,26.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,623,0
2018,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,988,0
2019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1354,0
2020,1.0,1.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0,8.0,1.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1453,0
2021,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,623,0
2022,1.0,1.0,1.0,1.0,31.0,8.0,31.0,8.0,31.0,31.0,1.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,699,0
2023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,624,0
2014,0.0,0.0,0.0,1.0,4.5,31.0,9.0,31.0,6.0,6.0,0.0,0.0,365.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,365,0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.0,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,731,0
