Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_a_S,,10.0,100,70,24.0,2.4,24.0,24.0,2.4,2.4,9.125,219.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_b_P,,6.0,60,70,6.0,0.6,6.0,24.0,0.6,2.4,9.125,1737.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_b_S,,6.0,60,70,6.0,0.6,6.0,34.0,0.6,3.4,13.23076923076923,1669.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_c_P,,10.0,100,100,39.0,3.9,39.0,39.0,3.9,3.9,13.23076923076923,516.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_c_S,,10.0,100,100,30.0,3.0,30.0,30.0,3.0,3.0,24.766666666666666,743.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_P_pd,,2.0,20,30,3.0,0.3,11.0,17.0,1.1,1.7,5.882352941176471,100.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_P_sd,,3.0,30,30,4.0,0.4,13.0,17.0,1.3,1.7,5.882352941176471,100.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_S_pd,,5.0,50,30,6.0,0.6,19.0,29.0,1.9,2.9,6.724137931034483,195.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_S_sd,,6.0,60,30,7.0,0.7,21.0,29.0,2.1,2.9,6.724137931034483,195.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_P_pd,,5.0,50,70,6.0,0.6,19.0,29.0,1.9,2.9,6.724137931034483,195.0,0,22.0,3653.0
