scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1968,1968-11-14,1968-12-04,21,21,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1968,1969-01-01,1969-02-28,59,59,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1969,1969-11-07,1969-11-27,21,21,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1970,1970-09-24,1970-10-11,18,18,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1970,1970-10-23,1970-11-03,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1970,1970-12-09,1971-03-19,101,101,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1971,1972-01-12,1972-03-04,53,53,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1972,1972-10-19,1972-12-06,49,49,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1972,1972-12-21,1973-01-25,36,36,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1972,1973-02-12,1973-03-02,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1973,1973-07-19,1973-08-04,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1973,1973-11-05,1973-11-16,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1973,1974-01-10,1974-01-25,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1973,1974-01-27,1974-02-10,15,15,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1974,1974-11-02,1974-11-12,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1974,1974-11-20,1974-12-16,27,27,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1974,1975-01-20,1975-02-02,14,14,NSW,NSW Border Rivers,
