scenario,gauge,pu,State,SWSDLName,ewr,startDate,endDate,interEventLength
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022-12-17,2022-12-17,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022-12-19,2022-12-25,7
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022-12-27,2022-12-30,4
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023-01-28,2023-01-28,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023-02-09,2023-02-09,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023-04-22,2023-04-22,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023-04-25,2023-04-26,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023-06-01,2023-11-30,183
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2024-05-05,2024-05-05,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2024-06-01,2024-06-30,30
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014-07-01,2014-11-30,153
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014-12-02,2014-12-02,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014-12-09,2014-12-15,7
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014-12-17,2014-12-23,7
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014-12-25,2014-12-31,7
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-04,2015-01-04,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-08,2015-01-11,4
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-13,2015-01-15,3
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-17,2015-01-21,5
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-23,2015-01-26,4
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-01-28,2015-02-02,6
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-02-20,2015-02-21,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-02-25,2015-02-27,3
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-03-02,2015-03-12,11
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-03-15,2015-03-15,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-03-17,2015-03-18,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-03-25,2015-03-27,3
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-03-31,2015-03-31,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-04-04,2015-04-07,4
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-04-30,2015-05-01,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-06-01,2015-12-07,190
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-12-18,2015-12-18,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015-12-28,2015-12-30,3
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016-01-01,2016-01-03,3
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016-01-09,2016-01-09,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2016-01-12,2016-01-14,3
