scenario,gauge,pu,State,SWSDLName,ewr,waterYear,startDate,endDate,eventDuration,eventLength,Multigauge
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2020,2021-04-26,2021-04-29,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2020,2021-05-01,2021-05-02,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2020,2021-05-04,2021-05-31,28,28,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2021,2021-12-01,2021-12-20,20,20,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2021,2021-12-22,2022-01-04,14,14,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2021,2022-01-06,2022-01-06,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2021,2022-01-10,2022-01-18,9,9,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2021,2022-01-21,2022-05-31,131,131,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2022-12-01,2022-12-16,16,16,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2022-12-18,2022-12-18,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2022-12-26,2022-12-26,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2022-12-31,2023-01-27,28,28,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2023-01-29,2023-02-08,11,11,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2023-02-10,2023-04-21,71,71,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2023-04-23,2023-04-24,2,2,
