Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_a_P,,10.0,100,30,23.0,2.3,23.0,23.0,2.3,2.3,7.913043478260869,182.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_a_S,,10.0,100,30,50.0,5.0,50.0,50.0,5.0,5.0,9.38,469.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_b_P,,6.0,60,70,6.0,0.6,6.0,14.0,0.6,1.4,9.38,1786.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_b_S,,6.0,60,70,6.0,0.6,6.0,16.0,0.6,1.6,28.814814814814813,1758.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_c_P,,10.0,100,100,27.0,2.7,27.0,27.0,2.7,2.7,28.814814814814813,778.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F1_c_S,,10.0,100,100,18.0,1.8,18.0,18.0,1.8,1.8,47.0,846.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_a_P_pd,,5.0,50,30,5.0,0.5,15.0,19.0,1.5,1.9,6.842105263157895,130.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_a_P_sd,,5.0,50,30,7.0,0.7,17.0,19.0,1.7,1.9,6.842105263157895,130.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_a_S_pd,,7.0,70,30,10.0,1.0,23.0,32.0,2.3,3.2,7.65625,245.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_a_S_sd,,8.0,80,30,11.0,1.1,24.0,32.0,2.4,3.2,7.65625,245.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_b_P_pd,,7.0,70,70,10.0,1.0,23.0,32.0,2.3,3.2,7.65625,245.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_b_P_sd,,8.0,80,70,11.0,1.1,24.0,32.0,2.4,3.2,7.65625,245.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_b_S_pd,,8.0,80,70,11.0,1.1,28.0,30.0,2.8,3.0,19.7,591.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_b_S_sd,,8.0,80,70,12.0,1.2,30.0,30.0,3.0,3.0,19.7,591.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_c_P_pd,,8.0,80,100,11.0,1.1,28.0,30.0,2.8,3.0,19.7,591.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_c_P_sd,,8.0,80,100,12.0,1.2,30.0,30.0,3.0,3.0,19.7,591.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_c_S_pd,,4.0,40,100,5.0,0.5,16.0,16.0,1.6,1.6,48.9375,783.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,F2_c_S_sd,,4.0,40,100,5.0,0.5,16.0,16.0,1.6,1.6,48.9375,783.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF1_P_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF1_P_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF1_S_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF1_S_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF2_P_pd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,8.285714285714286,58.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF2_P_sd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,8.285714285714286,58.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF2_S_pd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,8.714285714285714,61.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,LF2_S_sd,,2.0,20,40,5.0,0.5,5.0,7.0,0.5,0.7,8.714285714285714,61.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,OB1,,2.0,20,0,3.0,0.3,3.0,3.0,0.3,0.3,2.6666666666666665,8.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF1_a_P_pd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF1_a_P_sd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF1_a_S_pd,,4.0,40,70,4.0,0.4,4.0,5.0,0.4,0.5,2.8,14.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF1_a_S_sd,,4.0,40,70,5.0,0.5,5.0,5.0,0.5,0.5,2.8,14.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF2_a_P_pd,,2.0,20,70,3.0,0.3,3.0,5.0,0.3,0.5,8.4,42.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF2_a_P_sd,,2.0,20,70,5.0,0.5,5.0,5.0,0.5,0.5,8.4,42.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF2_a_S_pd,,9.0,90,70,13.0,1.3,13.0,13.0,1.3,1.3,8.153846153846153,106.0,4,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,SF2_a_S_sd,,9.0,90,70,13.0,1.3,13.0,13.0,1.3,1.3,8.153846153846153,106.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF1_a,,1.0,10,30,1.0,0.1,1.0,71.0,0.1,7.1,19.859154929577464,1410.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF1_b_P,,6.0,60,70,6.0,0.6,6.0,23.0,0.6,2.3,76.47826086956522,1759.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF1_b_S,,6.0,60,70,6.0,0.6,6.0,33.0,0.6,3.3,51.24242424242424,1691.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF1_c,,8.0,80,100,8.0,0.8,8.0,17.0,0.8,1.7,106.29411764705883,1807.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,47.0,0.0,4.2727272727272725,12.0,564.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF2_b,,1.0,9,70,1.0,0.09090909090909091,1.0,40.0,0.09090909090909091,3.6363636363636362,31.65,1266.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BF2_c,,2.0,18,100,2.0,0.18181818181818182,2.0,30.0,0.18181818181818182,2.727272727272727,56.46666666666667,1694.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BK1_pd,,3.0,30,0,5.0,0.5,5.0,6.0,0.5,0.6,3.1666666666666665,19.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,BK1_sd,,3.0,30,0,6.0,0.6,6.0,6.0,0.6,0.6,3.1666666666666665,19.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,CF1_a,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,CF1_b,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,CF1_c,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_a_P,,8.0,80,30,18.0,1.8,18.0,18.0,1.8,1.8,6.833333333333333,123.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_a_S,,10.0,100,70,24.0,2.4,24.0,24.0,2.4,2.4,9.125,219.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_b_P,,6.0,60,70,6.0,0.6,6.0,23.0,0.6,2.3,9.125,1759.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_b_S,,6.0,60,70,6.0,0.6,6.0,33.0,0.6,3.3,14.157894736842104,1691.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_c_P,,10.0,100,100,38.0,3.8,38.0,38.0,3.8,3.8,14.157894736842104,538.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F1_c_S,,10.0,100,100,29.0,2.9,29.0,29.0,2.9,2.9,26.379310344827587,765.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_P_pd,,2.0,20,30,3.0,0.3,11.0,17.0,1.1,1.7,5.882352941176471,100.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_P_sd,,3.0,30,30,4.0,0.4,13.0,17.0,1.3,1.7,5.882352941176471,100.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_S_pd,,5.0,50,30,6.0,0.6,19.0,29.0,1.9,2.9,6.724137931034483,195.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_a_S_sd,,6.0,60,30,7.0,0.7,21.0,29.0,2.1,2.9,6.724137931034483,195.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_P_pd,,5.0,50,70,6.0,0.6,19.0,29.0,1.9,2.9,6.724137931034483,195.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_P_sd,,6.0,60,70,7.0,0.7,21.0,29.0,2.1,2.9,6.724137931034483,195.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_S_pd,,9.0,90,70,13.0,1.3,30.0,41.0,3.0,4.1,8.585365853658537,352.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_S_sd,,9.0,90,70,17.0,1.7,37.0,41.0,3.7,4.1,8.585365853658537,352.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_P_pd,,9.0,90,100,13.0,1.3,30.0,41.0,3.0,4.1,8.585365853658537,352.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_P_sd,,9.0,90,100,17.0,1.7,37.0,41.0,3.7,4.1,8.585365853658537,352.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_S_pd,,9.0,90,100,17.0,1.7,38.0,50.0,3.8,5.0,12.9,645.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_S_sd,,9.0,90,100,18.0,1.8,40.0,50.0,4.0,5.0,12.9,645.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_P_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_P_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_S_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_S_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_P_pd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,9.571428571428571,67.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_P_sd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,9.571428571428571,67.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_S_pd,,2.0,20,40,4.0,0.4,4.0,6.0,0.4,0.6,12.0,72.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_S_sd,,2.0,20,40,4.0,0.4,4.0,6.0,0.4,0.6,12.0,72.0,4,0.0,3653.0
